num_sat,pass_all,pass_all_perc,fail_all,fail_all_perc,1AB,1C,Type 2,Type 3,Total
6664,3974,59.63,712,10.68,36,67,150,183,436
8937,5614,62.82,865,9.68,37,96,176,248,557
9660,6202,64.2,724,7.49,46,133,195,224,598
4970,3079,61.95,454,9.13,34,50,106,165,355
26259,17633,67.15,1987,7.57,78,79,149,100,406
13445,8743,65.03,1198,8.91,67,70,118,175,430
20437,13131,64.25,1748,8.55,66,106,187,177,536
7559,4787,63.33,749,9.91,38,65,129,87,319
7086,4673,65.95,510,7.2,47,44,149,199,439
12237,7982,65.23,1085,8.87,49,90,188,206,533
16179,9744,60.23,1527,9.44,49,67,161,140,417
9452,6080,64.33,844,8.93,60,161,217,211,649
1270,779,61.34,91,7.17,12,14,37,41,104
18127,12041,66.43,1268,7,75,184,316,308,883
1277,875,68.52,98,7.67,15,20,29,69,133
5436,3493,64.26,388,7.14,21,67,98,136,322
10666,6972,65.37,932,8.74,45,71,131,117,364
4867,3198,65.71,384,7.89,32,49,1200,93,294
1026,646,62.96,82,7.99,13,9,41,60,123
6101,3974,65.14,485,7.95,34,89,152,273,548
3644,2215,60.78,322,8.84,24,33,59,131,247
6217,4212,67.75,414,6.66,33,72,160,101,336
11502,7932,68.96,866,7.53,59,84,248,201,592
3567,2159,60.53,347,9.73,24,59,100,129,312
1606,1034,64.38,123,7.66,11,22,46,102,181
6674,4023,60.28,716,10.73,35,68,148,186,437
8718,5520,63.32,850,9.75,37,97,173,250,557
9221,6167,66.88,733,7.95,48,131,192,230,601
4517,2950,65.31,359,7.95,34,54,105,164,357
25308,17054,67.39,1927,7.61,80,77,140,108,405
12872,8278,64.31,1262,9.8,67,70,111,183,431
19028,12396,65.15,1609,8.46,69,103,184,180,536
6761,4403,65.12,617,9.13,38,66,127,89,320
6615,4527,68.44,442,6.68,50,42,149,198,439
11237,7448,66.28,950,8.45,48,93,185,204,530
15767,10172,64.51,1174,7.45,50,66,162,141,419
9043,5984,66.17,750,8.29,60,161,216,213,650
1189,766,64.42,114,9.59,12,14,37,41,104
17013,11199,65.83,1325,7.79,72,186,302,330,890
1203,873,72.57,62,5.15,16,21,31,65,133
4954,3271,66.03,395,7.97,20,66,101,136,323
9948,6686,67.21,813,8.17,45,72,127,119,363
4392,2990,68.08,347,7.9,35,46,119,94,294
990,691,69.8,65,6.57,14,10,40,59,123
5912,4066,68.78,441,7.46,35,89,150,274,548
3412,2123,62.22,338,9.91,24,33,58,133,248
5916,4058,68.59,399,6.74,35,69,158,107,369
10986,7592,69.11,808,7.35,55,90,250,206,601
3360,2116,62.98,338,10.06,25,59,98,130,312
1594,1068,67,133,8.34,12,22,45,93,172
6510,3997,61.4,580,8.91,37,67,148,186,438
8822,5273,59.77,907,10.28,39,98,167,258,562
9751,6098,62.54,771,7.91,49,128,176,253,606
4749,3017,63.53,321,6.76,36,53,103,167,359
26255,17287,65.84,1955,7.45,76,80,127,121,404
12762,8094,63.42,1152,9.03,66,73,100,191,430
19432,12175,62.65,1671,8.6,72,100,179,186,537
6939,4437,63.94,614,8.85,38,70,120,93,321
6925,4567,65.95,495,7.15,50,44,145,214,453
11567,7398,63.96,1019,8.81,51,90,184,206,531
15614,9500,60.84,1304,8.35,53,62,160,143,418
9351,5948,63.61,756,8.08,60,163,209,217,649
1216,780,64.14,95,7.81,12,14,37,41,104
17671,10767,60.93,1623,9.18,71,187,287,340,885
1337,883,66.04,91,6.81,15,22,31,69,137
4930,3151,63.91,396,8.03,20,64,100,137,321
9919,6363,64.15,871,8.78,45,73,113,130,361
4642,3012,64.89,344,7.41,34,50,114,96,294
1074,672,62.57,108,10.06,14,13,38,58,123
6110,3873,63.39,502,8.22,34,92,146,277,549
3485,2021,57.99,386,11.08,25,32,58,135,250
6162,3894,63.19,497,8.07,35,71,155,110,371
11147,7700,69.08,731,6.56,58,88,253,199,598
3720,2278,61.24,354,9.52,26,62,95,130,313
1775,1053,59.32,159,8.96,13,22,43,102,180
