District,num_sat,pass_all,pass_all_perc,fail_all,fail_all_perc,prev_pass_all_perc,prev_fail_all_perc
Ampara,6674,4023,60.28,716,10.73,61.4,8.91
Anuradhapura,8718,5520,63.32,850,9.75,59.77,10.28
Badulla,9221,6167,66.88,733,7.95,62.54,7.91
Batticaloa,4517,2950,65.31,359,7.95,63.53,6.76
Colombo,25308,17054,67.39,1927,7.61,65.84,7.45
Galle,12872,8278,64.31,1262,9.8,63.42,9.03
Gampaha,19028,12396,65.15,1609,8.46,62.65,8.6
Hambantota,6761,4403,65.12,617,9.13,63.94,8.85
Jaffna,6615,4527,68.44,442,6.68,65.95,7.15
Kalutara,11237,7448,66.28,950,8.45,63.96,8.81
Kandy,15767,10172,64.51,1174,7.45,60.84,8.35
Kegalle,9043,5984,66.17,750,8.29,63.61,8.08
Kilinochchi,1189,766,64.42,114,9.59,64.14,7.81
Kurunegala,17013,11199,65.83,1325,7.79,60.93,9.18
Mannar,1203,873,72.57,62,5.15,66.04,6.81
Matale,4954,3271,66.03,395,7.97,63.91,8.03
Matara,9948,6686,67.21,813,8.17,64.15,8.78
Monaragala,4392,2990,68.08,347,7.9,64.89,7.41
Mullativu,990,691,69.8,65,6.57,62.57,10.06
Nuwara Eliya,5912,4066,68.78,441,7.46,63.39,8.22
Polonnaruwa,3412,2123,62.22,338,9.91,57.99,11.08
Puttalam,5916,4058,68.59,399,6.74,63.19,8.07
Ratnapura,10986,7592,69.11,808,7.35,69.08,6.56
Trincomalee,3360,2116,62.98,338,10.06,61.24,9.52
Vavuniya,1594,1068,67,133,8.34,59.32,8.96
