District,1AB,1C,Type 2,Type 3,Total
Ampara,36,67,150,183,436
Anuradhapura,37,96,176,248,557
Badulla,46,133,195,224,598
Batticaloa,34,50,106,165,355
Colombo,78,79,149,100,406
Galle,67,70,118,175,430
Gampaha,66,106,187,177,536
Hambantota,38,65,129,87,319
Jaffna,47,44,149,199,439
Kaegalle,49,90,188,206,533
Kalutara,49,67,161,140,417
Kandy,60,161,217,211,649
Kilinochchi,12,14,37,41,104
Kurunegala,75,184,316,308,883
Mannar,15,20,29,69,133
Matale,21,67,98,136,322
Matara,45,71,131,117,364
Monaragala,32,49,1200,93,294
Mullativu,13,9,41,60,123
Nuwaraeliya,34,89,152,273,548
Polonnaruwa,24,33,59,131,247
Puttalam,33,72,160,101,336
Ratnapura,59,84,248,201,592
Trincomalee,24,59,100,129,312
Vavuniya,11,22,46,102,181
