District,ol_sat_more_than_5,ol_qualified_for_al,ol_qualified_for_al_perc,ol_failed_all,ol_failed_all_perc,range_score
Matara,11438,8950,78.25,197,1.72,1
Colombo,31933,24382,76.35,854,2.67,1
Hambantota,8779,6701,76.33,165,1.88,1
Galle,14777,11177,75.64,288,1.95,1
Kurunegala,23242,17046,73.34,499,2.15,1
Kandy,20197,14632,72.45,590,2.92,1
Kegalle,11624,8382,72.11,386,3.32,1
Gampaha,27719,19556,70.55,962,3.47,1
Kalutara,15762,11056,70.14,447,2.84,1
Ratnapura,13965,9735,69.71,490,3.51,2
Badulla,12254,8482,69.22,406,3.31,2
Matale,7109,4911,69.08,246,3.46,2
Ampara,9814,6600,67.25,241,2.46,2
Anuradhapura,13209,8844,66.95,526,3.98,2
Monaragala,6304,4148,65.8,276,4.38,2
Vavuniya,2540,1660,65.35,69,2.72,2
Polonnaruwa,5832,3788,64.95,238,4.08,2
Puttalam,10591,6850,64.68,285,2.69,2
Mannar,1715,1090,63.56,21,1.22,2
Jaffna,9433,5847,61.98,440,4.66,2
Nuwara Eliya,10359,6389,61.68,389,3.76,2
Batticaloa,8098,4708,58.14,345,4.26,3
Mullaitivu,1620,927,57.22,79,4.88,3
Trincomalee,5832,3309,56.74,291,4.99,3
Kilinochchi,2105,1038,49.31,170,8.08,4
